,Transljteratjon,Translation
2269,Ne. pw sA .k,Neferkare is your son .
2270,M.n pw smA wr,For Merenre is the great wild bull .
2271,P. pw wn nTr j .wp .wtj nTr,"Pepi is the being of the god, an agent of the god ."
2272,P. pw HkA .w P. pw Xrj HkA,"For Pepi is a magician, for Pepi is one who bears magic ."
2273,M.n pw Ax m rA .f apr,"He is Merenre, one who is an Akh equipped through his utterance ."
2274, Ne. pw sA .k Ne. pw Hr ,Neferkare is your son; Neferkare is Horus .
2275,P. pw wr pr jr P.t xprr pr jr ,"Pepi is a great one who ascends to the sky, Kheprer who ascends to the ."
2276,P. pw ,For Pepi is .
2277,Ne. pw wa nj X .t tw aA .t ms .t m bAH m jwnw,Neferkare is one of this great body which was born before in Heliopolis .
2278,M. pw wr sA wr,"For Merire is a great one, son of a great one ."
2279,P. pj sT.tj,Pepi is Zetjeti .
2280,P. pn smA wr prj m xntj jmn .tjw,"Pepi is the great wild bull, the one who ascends as foremost of the westerners ."
2281,P. pj sA .k P. pj jwa .w .k,For Pepi is your son; Pepi is your heir .
2282,P. pw jry txn .wj njwy ra jrwy tA,"Pepi is one who pertains to the two obelisks of Re, which are on earth ."
2283,P. pw nr kA .w .k Hry msxn .t .k,"Pepi is your herdsman, master of your birth brick ."
2284, M.n pw mAa xr P.t xr tA ,Merenre is one true to the sky and earth .
2285,P. pw sj,Pepi is one who goes .
2286,M.n pw bA swA jmjtw .Tn,"For Merenre is a Ba, one who would pass among you ."
2287,P. pw DHw .tj nD Tn,"Pepi is Thoth, the one who saves you ."
2288,P. pw Tr .w pr .w m ra fd .wt pr .t m As .t,"Pepi is the blood which went forth from Re, the sweat which went forth from Isis ."
2289, P. pw jrj nTr sA nTr ,"Pepi thus is a god, the son of a god ."
2290,Ne. pw mtw .t nTr jmwt .T,And Neferkare is the god’s seed which is in you .
2291,M.n pw wab,Merenre is a pure one .
2292,P. pw Xrj jr .t Hr,For Pepi is one who has the eye of Horus .
2293, M.n pw sk sn jp .wtj nj ra ,"Merenre is the one who destroys them, the agent of Re ."
2294,M.n pw sbA wpS P.t,For Merenre is the star which illuminates the sky .
2295,M.n pw xf a HD .t tpj Sb .t wAD .t,"Merenre is one who grasps the white crown, first one of the curl of the green crown ."
2296, P. pw rAHs xntj tA Sma ,"Pepi is Iahes, foremost of the land of the south ."
2297, M. pw mtw .t .k ra spd .tj m rn .T pw nj Hr xntj Ax .w sbA DA wAD wr,"Merire is your seed, O Re, it being effective, in this your name of ‘Horus foremost of Akhs, the star which crosses the great green .’"
2298,Nt . pw sHd jr P.t m m nTr .w,Neith is a star at the sky among the gods .
2299,M.n pw jrj sA j .tm,Merenre is thus the son of Atum .
2300,Nt . pw wsjr pr m SsA .t,"Neith is Osiris, the one who ascends from the night"
2301, Ne. pw Ax apr dbH xpr ,"Neferkare is an equipped Akh, who seeks metamorphose ."
2302,Ne. pw bjk aA Hr snb .w Hw .t jmn rn,Neferkare is a great falcon upon the walls of the house of hidden of name .
2303,Ne. pw bjk ngg dbn jr .t Hr Hrj jb dA .t ,"Neferkare is a screeching falcon who circles around, the eye of Horus inside the netherworld ."
2304,n ntjt Ne. js pw sn pr m sbq,For Neferkare is a brother who would go forth from the shin .
2305,Ne. pw Xrj x .t,For Neferkare is one possessing a meal .
2306, Ne. pw bjk .T pw nTr .y ,For Neferkare is this divine falcon of yours .
2307, Ne. pw wa m fd jpw wnn .w ms .w tm ms .w nw .t ,"Neferkare is one of these four who exist, the children of Atum, the children of Nut ."
2308,Ne. pj DHw .tj Hrj tp nw .t Ne. pw jnpw Hrj tp pr,Neferkare is Thoth who is over Nut; Neferkare is Anubis who is over the house .
2309,Nt . pw ama pr m ra,Neith is the uncircumcized one who ascended as Re .
2310,Nt . pw wr pr m wp .t DHw .tj,Neith is the great one who went forth from the brow of Thoth .
2311,Nt . pw sA tm sn nw nj nfr mAa .t,"Neith is the son of Atum, the companion of Neferma’at ."
2312,Nt . pw fd nw nj fd pw nTr .w prr .w m wp .t gbb,Neith is the fourth of these four gods who go forth from the brow of Geb .
2313,Nt . pw xmn nw ,Even as Neith is the eighth .
2314, P. pw pA , Pepi is the one who flies .
2315, P. pj nxn jmn qd .w jr j .xm .w sk ,"Pepi is this youth, who is more hidden of form than the imperishable stars ."
2316,P. pw wa jm .Tn,Pepi is one of you .
2317,T. pw sp .tj .fj,Teti is the one who will survive .
2318,W. pj gbb,For Unas is Geb .
2319,T. pw Hm Hr Xrd nxn Dba .f m rA .f ,Teti is indeed Horus the young child whose finger is in his mouth .
2320, T. pw Hr pr m SnT sjn ,"Teti is Horus who went forth as the serpent, the runner ."
2321,T. pw Hwn .t wr .t,For Teti is the great maiden .
2322,T. pw pD m Hr,Teti is one who stretches the bow as Horus .
2323,T. pw jr .t tw njt ra sDr .t jj .tj ms .tj ra nb,"Teti is this Eye of Re, which passes the night, conceived and born every day ."
2324,T. pw Tw,Teti is you o Re .
2325, T. pw kA psD .t nb jS .t t 5 ,"Teti is the bull of the Ennead, a possessor of offerings, of five loaves ."
2326,P. pw mAs m nww,Pepi is the one who kneels in Nu .
2327,M. pw jwn .tj,Merire is one of Dendera .
2328,T.1238 pw wt jnpw .k,Teti is your Anubis embalmer .
2329,T. pw wr wDA wrr .t,"For Teti is the great one, sound of Wereret crown ."
2330,P. pj sA .k,Pepi is your son .
2331,Ne. pw Hr DbA jr .t .f m a .wy .fj tm .wy,"Neferkare is Horus, who adorned his eye with both his hands ."
2332, Ne. pw gbb rA pan jrj pa .t nTr .w ,"Neferkare is Geb, P’an utterance, prince of the gods ."
2333,n Xnn .tj jm .k,There being no discord in you .
2334,n Xnn .tj jm .k,There being no discord in you .
2335,n Xnn .tj jm .k,There being no discord in you .
2336,n Xnn .tj jm .k,There being no discord in you .
2337,n Hm .wtj .fj nb,There is not any who will turn back .
2338,n Hmj jmj .sn,Without one of them turning back .
2339, jmj Hm .wtj .fj jm .Tn ,Let there be none among you who will turn back .
2340, jmj Hm .wtj .fj jm .Tn ,Let there be none among you who will turn back .
2341,jmj psD .w .tj .fj jm .sn,Let there be none of them who will turn the back .
2342,n HwA .f n jmk .f ,"That he not rot, that he not decay ."
2343,n HwA P. n jmk .f ,"Pepi will not rot, he will not decay ."
2344,n HwA Ne.,Neferkare will not rot .
2345,m HwA m jmk m Dw sT .k,"Do not rot, do not decay, do not be bad of scent!"
2346, xw .snj rpw .k jr rn .k pw nj jnpw ,"Let them prevent that you rot, in accordance with this your name of ‘Anubis .’"
2347,n jmk .k,Your decay is not .
2348,n HwA .n .f ,It cannot rot .
2349,m Hr r .j js,Do not be distant from me or the tomb!
2350,m Hr jr .f ,Do not be distant from him!
2351, jmj .k Hr jr .snj m rn .k nj dwAw ,"And may you not be far from them, in your name of ‘Duau .’"
2352,m Hr jr .f m rn .k nj Hrjt,"Do not be far from him, in your name of ‘sky!’"
2353,jmj .T rDj Hr P. r .T m rn .T Hr .t,May you not let Pepi be far from you in your name of ‘distant one .’
2354,jw x .t 2 njt P. m Ddw,Two offerings of Pepi are in Busiris .
2355,wa .t r P.t sn .t r tA,One is above; two are below .
2356,P. pw jry txn .wj njwy ra jrwy tA P. pw jrj sSp .wy njwy ra jrw P.t,"Pepi is one who pertains to the two obelisks of Re, which are on earth; Pepi is one who pertains to the two lights of Re which are in the sky ."
2357,xmt .t r P.t sn .t jr tA,Three are above and two are below .
2358,jw xmt .t r P.t xr ra jw sn .t r tA xr psD .tj,Three are above with Re; two are below with the two Enneads .
2359,t 3 r P.t t 2 r tA,"Three are above, two below ."
2360,jw x .t 3 r P.t xr Hr 2 r tA xr aA,"Three are above with Horus, and two are below with the great one ."
2361, pSS .n sj mw .t .k nw .t Hr .k m rn .s nj S .t P.t ,"So has your mother Nut spread herself over you, in her name of ‘Shetpet .’"
2362,jn .t .s n .k jb .k m X .t .k,Let her bring your heart to you into your body .
2363,jn .t .s n .k jb .k m X .t .k,Let her bring you your heart to your body .
2364,nw .t Dj .s n .k HA .tj .k,Nut gives you your heart .
2365, sxm n .T m X .t mw .t .T tfn .t ,Power being yours in the womb of your mother Tefenut .
2366,sxm jb .T,Your heart is strong .
2367,Tmt sA .t sxm .t m mw .t .s xa .tj m bj .tj,"You are the daughter, the one powerful in her mother, appeared as the king of Lower Egypt ."
2368,jn sxm .n .T,Indeed you have become powerful .
2369,sxm .tj jm .f ,May you have power over it .
2370, n sxm .T m nTr .w kA .w .sn jsT jwa .t .sn jsT Df A .w .sn jsT jS .wt .sn nb .wt jsT ,"Precisely because you have power over the gods, and their Kas, and their inheritance, and their provisions, and all their possessions ."
2371,rDj .n nw .t wn .k m nTr n xftj .k m rn .k nj nTr,"Nut has caused that you be a god to your opponent, even in your name of ‘god .’"
2372,d .n Tw nw .t m nTr n stS m rn .k nj nTr,"Just as Nut has placed you as a god to Seth, in your name of ‘god .’"
2373,rDj .n .s wn .k m nTr n xftj .k m rn .k nj nTr,She has caused that you be a god
2374,Dj .n mw .t .k nw .t wn .k m nTr n xftj .k m rn .k nj nTr,"For your mother Nut has caused that you be a god to your opponent, in your name of ‘god .’"
2375, rDj .n .s wn .k m nTr n xftj .k m rn .k nj nTr ,"She has caused that you be a god to your opponent, in your name of ‘god .’"
2376,jw .n .T sdx .T sA .T jw .n .T js Xnm .T wr pn,"You have come, that you cover your son: you have come, that you join this great one ."
2377,j mw .t .k,Your mother comes .
2378,j n .k mw .t .k,Your mother comes to you .
2379,j n .k mw .t .k,Your mother comes to you .
2380, Xnm .s Tw m a x .t nb .t Dw .t m rn .s nj Xnm .t wr .t ,"She protecting you from everything adverse, in her name of ‘great joiner .’"
2381,sdx .T sw m a stS Xnm sw,That you conceal him from Seth . Join him!
2382,Xnm sw Xnm .t wr .t,"Protect him, O great joiner!"
2383,Xnm .T P. m anx wAs,May you join Pepi with life and dominion .
2384,sdx .s Tw m a x .t nb .t Dw .t,Even so that she may conceal you from everything adverse .
2385,Xnm .s kw,Let her join you .
2386,j n .k Xnm .t wr .t,The great joiner comes to you .
2387,Snm .s Tw,Even that she join you .
2388,wab Tw mw .t .k nw .t Xnm .t wr .t Xnm .s Tw,"Let purify you your mother Nut, the great joiner, let her join you ."
2389,Xnm .s Tw,And she joins you .
2390, Xnm .n .s kw m a x .t nb .t Dw .t m rn .s nj Xnm .t wr .t ,"She has protected you from everything harmful, in her name of ‘great joiner .’"
2391,xw .s Tw Xnm .s Tw,"That she protects you, that she joins you ."
2392,pSS .n sj mw .t .k nw .t Hr .k m rn .s nj S .t P.t,"So has your mother Nut spread herself over you, in her name of ‘Shetpet .’"
2393, pSS .n sj mw .t .k nw .t Hr .k m rn .s nj S .t P.t ,"Your mother Nut has spread herself over you, in her name of ‘Shetpet .’"
2394,pSS Tn Hr sA .T wsjr P.,Spread yourself over your son Osiris Pepi .
2395,pSS .n sj mw .t .k Hr .k,Your mother Nut has spread herself over you .
2396, pSS .n sj mw .t .k nw .t Hr .k m rn .s nj S .t P.t ,"Your mother Nut has spread herself over you, in her name of ‘Shetpet .’"
2397,sfx Dw .t jrjt .f jr tA jr .t .n nw tknw jr .k m ab Ax .w .k,"With the evil pertaining to him loosed to the ground, that which Nutekenu did against you among your Akhs ."
2398,rDj .n .j n .k nw tknw,I have given you Nuteknu .
2399, Hms Hr xndw .k pw bjA .j an .wt .k xbA .t Hw .t ,"Be seated upon your metal throne, your talons which obliterate the house ."
2400,n rDj .n .j Tw n nw tknw,I not giving you to Nuteknu .
2401, Hms .k Hr xndw .k bjA .j bjA .w n .f mwt .w an .wt .k xbA .t Hw .t nw tknw ,"May you be seated upon your metal throne from which the dead are distant, your talons which obliterate the house of Nuteknu ."
2402, xw .n .j Tw m a nw tknw m Sna .t jrjt Hr .j ,"I have protected you from Nuteknu, by that which repels which is at my face ."
2403,j hA P. pw,"O! Hail, Pepi ."
2404,j .Dd .j mdw j hj,As I recite the ‘O! Hail!’
2405,j hj,O! Hail!
2406,rDj .t qbH,Giving libation .
2407,sAT sAT,Libate the libation .
2408,bjk .wj wAD .jw,Two green falcons .
2409, xnD m ab sASr .t DA .t 4 njt mw ,A shank and roast meat and four handfuls of water .
2410,xnD m ab sASr .t fd .t DA .wt njwt mw,A shank and roast meat and four handfuls of water .
2411,Htp Dj nj sw .t n kA nj W.,The offering given of the king for the Ka of Unas .
2412,Htp Dj nj sw .t sp 2,The offering given of the king twice .
2413,Htp nj sw .t sp 2,The offering of the king twice .
2414, Htp Dj nj sw .t Htp Dj gbb n T. pn ,"The offering given of the king, the offering given of Geb for Teti ."
2415,Htp Dj nj sw .t m saH .k nb,The offering given of the king in your every title .
2416,Htp Dj nj sw .t,The offering given of the king .
2417, Htp rDj jnp xntj jmn .tjw ,"The offering given of Anubis, foremost of the westerners ."
2418,Htp Dj nj sw .t,The offering given of the king .
2419,Htp Dj nj sw .t Htp Dj jnp,The offering given of the king; an offering given of Anubis .
2420,Htp Dj nj sw .t n .k,The offering given of the king to you .
2421,Htp Dj .w jnp,The offering given of Anubis .
2422,Htp Dj gbb,The offering given of Geb .
2423,Htp Dj nj sw .t Htp Dj gbb,The offering given of the king; the offering given of
2424,Htp Dj nj sw .t Dj n .k m jr .w n .k jnp,"The offering given of the king is given to you, being what Anubis should do for you ."
2425,Htp Dj nj sw .t m s .wt .k nb .wt Htp Dj nj sw .t m saH .w .k nb .w,An offering which the king gives in all your offices; an offering which the king gives in all your titles .
2426,HD km f A .t,A white jar; a black jar . Lifting .
2427,f A .t xft Hr .f Dsr .t,Lifting before him; a sacred offering table .
2428,f A xft Hr .f ,Lift before him .
2429,f A .t t Hn .t,"Lifting bread, a bowl ."
2430, f A .T n .f mw jwn jmj .T ,May you lift up to him all the waters which are in you .
2431, smn .j n .k tp .k jr qs .w ,Let me make firm your head for you upon your vertabrae .
2432,j .smn .j n .k ar .tj .kj psS .tj,"Let me establish your jaws for you, with the result"
2433,smn Ne. a .k Hr anx,That Neferkare make firm your hand upon the Ankh .
2434,rDj mnx .t .k xA .k m Ss xA .k m mnx .t jn n .k M. pn smn .f Tw r .s,"Your linen having been given, and your thousand of alabaster, and your thousand of linen, which Merire brought you—he establishes you in respect to it ."
2435,j .smn .n .j Tn,As I have established you .
2436,msTw P. pn nTr dwAw,The offspring of Pepi is the morning god .
2437, msTw M.n nTr dwA ,The offspring of Merenre is the morning god .
2438,msTw Ne. pw nTr dwA,The offspring of Neferkare is the morning god .
2439,msTw M. pj nTr dwA,For the offspring of Merire is the morning god .
2440,msTw .k nTr dwA,Your offspring is the morning god .
2441,Hw jnn,"Oh, turn about!"
2442,Hw kw T. jnn kw T.,"Oh, you Teti! Turn yourself, Teti!"
2443, Hw Tw Ne. pn jnn Tw Ne. ,"Oh, you Neferkare! Turn yourself about, O Neferkare!"
2444,Hw hA nxx sj xr .k,"Ah, oh, it is given to you ."
2445,Hw kw Ne. jnn kw Ne.,"Oh, you Neferkare! Turn about, O Neferkare!"
2446,Hw kw Ne. jnn kw Ne.,"Oh, you O Neferkare! Turn about, O Neferkare ."
2447,Hw hA nxx sj xr .k,"Ah, oh, it is given to you!"
2448,sT HAb,Ceremonial scent oil .
2449,Hkn .w,Hikenu oil .
2450,sfT,Sacrificial scent .
2451,nSnm,Nechenem oil .
2452,twA .wt,Tuat oil .
2453,HA .tjt aS,Best unguent of cedar .
2454,HA .tjt THnw,Best oil of Libya .
2455,wAD msdm .t arf .wj,"Green and black eye paint, 2 bags ."
2456,wnx .w 2,Two cloths .
2457,fdw jpw sxn wab dw .n .Tn n wsjr m pr .t .f jr P.t,"As for these four pure reed boats, which you gave to Osiris in his ascent to the sky ."
2458,pr .f Hr .s jr P.t,That he ascend upon it to the sky .
2459,pr wsjr m m tpj hrw,Let Osiris ascend at dawn .
2460,Nt . pw wsjr pr m SsA .t,"Osiris is Neith, the one who ascends from the night sky ."
2461, jr .t .n n .k sA .k Hr xntj sx .t mAq .t prr .t .k Hr .s r P.t,"That which your son Horus foremost of the marsh made for you, the ladder on which you ascend to the sky ."
2462,n sxm .n jt .k jm .f ,Nor can your father have power over him .
2463,jt .k pw nn wsjr,"This one, Osiris, is this your father ."
2464,mA .n .sn jt .k wsjr hrw pw nj HAb m m .t,"After they have seen your father Osiris, on this day of catching birds with a throw stick ."
2465, ja n .k a .wy .kj m mw jpn rnpw rDj .w .n n .k jt .k wsjr ,Wash your hands with this fresh water which your father Osiris gave to you!
2466,snD n .k jmjw xt .k n rn .k pw jr .n n .k jt .k wsjr,"With your company fearful of you, because of this your name which your father Osiris made for you ."
2467,wr .wj nn jr .n n .k jt .k wsjr,"How great is this, which your father Osiris did for you!"
2468,anx anx .tj rnp rnp .tj jr Dba .wj jt .k jr Dba .wj sAH jr P.t,"Live, being alive; be rejuvenated, being rejuvenated, beside your father, beside Orion, at the sky!"
2469, rDj .n Hr jp n .k ms Hr Dr bw mH .n .k jm ,"Horus has caused that the children of Horus be reckoned for you, even at the place where you drowned ."
2470, n bjA .n .sn jr .k Dr bw mH .n .k jm ,"Them not being distant from you, at the place where you drowned ."
2471,rDj .n Hr jp n .k ms .w .f Dr bw mH .k jm,For Horus has caused that his children
2472,wD .n nww T. n tm,Nu has commended Teti to Atum .
2473,wD ndj n nTr .wj,Whom Nedi commended to the two gods .
2474, wD .n .T M.n n jmj Hn .tj .f ,For you have commended Merenre to the one who is in his service/duty .
2475,wD .n jmj Hn .tj .f P. pn n jmj spA .f ,The one who is in his service has commended Pepi to the one who is in his litter .
2476,j .wD wj n mA .j kA .f ,Commend me to the one whose Ka is seen!
2477,wD .f T. n ra Ds .f ,That he may commend Teti to Re himself .
2478,DA Hr Ax .tj jm xr ra,That Harakhti cross thereby to Re .
2479,DA .f jm jr Ax .t xr Hr Ax .tj,"That he cross thereby to the horizon, to Harakhti ."
2480,DA .f jm jr Ax .t xr ra,"That he cross thereby to the horizon, to Re ."
2481,DA Hr Ax .tj jm .sn jr Ax .t xr ra,"That Harakhti cross by them to the horizon, to Re ."
2482, DA Hr Ax .tj Hr .snj xr ra r Ax .t ,"That Harakhti might cross upon them to Re, to the horizon ."
2483,DAy .f xr ra jr Ax .t,"That he cross to Re, to the horizon ."
2484,DA .f jm xr ra,That he cross thereby to Re .
2485, Hw n .k jt Asx n .k bd .t ,"Let barley be threshed for you, emmer harvested for you ."
2486,skA .f jt skA .f bd .t,"Let him sow barley, let him sow emmer ."
2487,jn spd .t sA .t .k mr .t .k jr .t rnp .wt .k m rn .s n pw nj rnp .t,"It is Sothis, your daughter beloved of you, who makes your grain, in this her name of year ."
2488, skA .f m jt xpr skA .f m bd .t ,"Him sowing the barley which comes to be, him sowing the emmer ."
2489,skA .n .j jt Asx .n .j bd .t,I have sowed barley: I have reaped emmer .
2490, xbA .n .j n .k bd .t skA .n .j n .k jt ,"I have hoed emmer for you, I have sowed barley for you ."
2491,Asx .n .j jt n wAg .k,I have reaped barley even for your Wag offering .
2492,Hw .n .j jt Asx .n .j bd .t,I have threshed barley .
2493, jr .n .j sTA .wt skA .kj jt skA .kj bd .t Hnk .t Ne. pn jm n D .t ,"I have prepared arourae, I have sown barley, I have sown emmer, these things which are presented thereby, O Neferkare, for ever ."
2494,skA .n .j jt Asx .n .j bd .t jr .t .n .j n rnp .wt .k,"I have sowed barley, I have reaped emmer, which I grew for your grain ."
2495,Asx .n .j jt n Hbnn .wt .k Asx .j bd .t n rnpw .t .k,"I have harvested barley for your bread, and harvested emmer for your grain ."
2496,sA Tw ry wr,"Beware, O great mouth!"
2497,wDD n .f sAw Tw rw pr wD n .f sAw Tw rw,"For whom it was commanded ‘Beware,"
2498,sA T.,Beware of Teti!
2499,sAw Tw wr .wj,Beware the two great ones!
2500,sAw Tw tA,Beware of the earth!
2501,sAw Tw tA,Beware of the earth!
2502,sAw Tw xftjw,Beware the enemies!
2503,sAw Tw,Beware!
2504,sAw Tw,Beware!
2505,sA Tw wD n .f ,Beware the one who is commanded!
2506,pAy r .sn nTr .w,And gods thus fly .
2507,Twt jmn .tj wab prj m k bjk .t,As you o bull1241 are a pure westerner who has ascended from the falcon city .
2508,jn n W. j .pA .s xnn .s,"Bring to Unas ‘Just as it flies, so does it alight!’"
2509,pA t,Let the bread fly .
2510,pA pA,Let fly the one who would fly .
2511,j .pA .sn xn .sn m gs jAb .tj nj P.t,That they may fly up and alight in the eastern side of the sky .
2512,s s Hna kA .f ,The one who goes is gone with his Ka .
2513,s s xr kA .f ,The one who would go is gone to his Ka .
2514,s s xr kA .f ,The one who would go is gone to his Ka .
2515, s s xr kA .f s mxnt jr .tj xr kA .f ,The one who would go is gone to his Ka: Mekhentirti is gone to his Ka .
2516,wDA jb .k jr XA .wt T.,May you be informed concerning the corpse of Teti .
2517, wDA n .f jb .k jr M.n ,May you be informed concerning Merenre .
2518,Sn naw jn naw,Serpent is encircled by serpent .
2519, Sn P.t Sn tA Sn mDr HA rxj .t ,The sky is encircled: the earth is encircled: the one who goes around the masses is encircled .
2520,j jj bAby nT sSAw,"O eye injurer, O Babay, O one whom Shesau bound ."
2521,Sn .n .f Hw .tj,Having encircled he of the house .
2522, mr mr .k jn Sw aHa Sw Hr qAs .w .k ,"Your bond is bound by Shu, with Shu attending to your fetters ."
2523,P. j .spj Tmj sn nTj mw,"Pepi is the one who lashed together and formed, who untied and bound together the water ."
2524,Sn .n P. wA .wt stS,Pepi has encircled the ways of Seth .
2525,pr sD .t r Akr,And the flame go forth against Aker .
2526,nsr hh r .Tn,And the flame of the fire to you .
2527,nsr nj hh .s r .Tn,And the flame of her fire is bound for you .
2528, Am .n Tn Ax .t tw Drnn wt .jt ,"This diadem, Renenutit, has burned you ."
2529,ntj tj,O one who is trampled .
2530,kbb hjw tj .tj bj .tj,"Be restrained, O serpent, being trampled, and bound!"
2531, Hts .wj Hts .wj n Dam .wj sp 2 t js tj rw r .k ,"Two scepters, two scepters for the staves—twice—are as the bread which the lion trampled against you ."
2532,tj kk .j tj kk .j,Trample the dark one; trample the dark one!
2533,jry wA .t n W.,Make a way for Unas!
2534,j .wn wA .t W.,Open the way of Unas!
2535,jr .sn wA .t n W.,Let them make a way for Unas .
2536,jr n .j wA .t,Make for me a way!
2537,wp wA .wt wp .f n .f wA .t,Wepwawet opens a way for him .
2538, nm .t S jr .s wA .wt .f nfr .wt ,She who traverses the lake makes his beautiful ways .
2539,j .wn wA .t n P.,Open a way for Pepi!
2540,wp .k wA .t P. pn,May you open the way of Pepi .
2541,jn nw .t jr .t n .s wA .t,It is Nut who has made a way for her .
2542,j .wn n Ne. wA .t Ne. jr wA .t n Ne.,Open a way for Neferkare; make a way for Neferkare .
2543, jr n .k wA .t n Ne. swA .f Hr .s ,Make a way for Neferkare that he may pass upon it!
2544, Ax .w jmj sn .w wA .t n wr n gbb," the Akhs who are among those who open the way for the great one, for Geb ."
2545,Xn .Tn ra m manD .t jr .Tn wA .t n P. ,"May you row Re in the day bark, and may you make a way for Pepi ."
2546,jr .f n .k wA .t,Him making for you a way .
2547,wp .T wA .t .f xntj Ax .w,May you open his way before the Akhs .
2548, d .n n .k Hr xftj .k Xr rd .wj .kj ,Horus has placed your enemy under your feet .
2549,d .n n .k Hr xftj .k Xr .k,Horus has put your enemy under you .
2550, pD .n n .k Hr xftj .k Xr .k ,Horus has stretched your enemy under you for you .
2551,d .n .f kw Hr sA .f ,He has put you upon his back .
2552,d .f sw Xr sA .t .k wr .t jmjt qdm,"Putting him under your eldest daughter, she who is in Qedem ."
2553,d .n .sn n .k stS Xr .k,Having put Seth under you for you .
2554,d .n n .k DHw .tj nTr .w Xr .k,For Thoth has put the gods under you for you .
2555, d .n .f sw Xr sA .t .k wr .t jmjt qdm ,"He has placed him under your eldest daughter, she who is in Qedem ."
2556,j .dr Tw Hr s .t .k,Remove yourself from your place!
2557,aHa j .dr Tw,Arise! Remove yourself !
2558,j .dr sw m s .t .f ,Remove him from his place!
2559,j .dr Tw m wA .t .f ,Remove yourself from his way!
2560,nmH .k xntj .k,And deprive the one who is in front of you .
2561, jw .n nD .t kw jT jr .t Hr ,"That which saves you has come, for the eye of Horus has been seized ."
2562,rDj .n Hr j .nD Tw As .t Hna nb .t Hw .t,Horus has caused that Isis and Nephthys save you .
2563,nD .tj,Who is saved .
2564,j .nD .s Tw,That it may save you .
2565,j .nD .j wsjr P. pn m a .f Dr HD .t tA,Save Osiris Pepi from him until dawn!
2566,j .nD .f Ne. pn,And that he save Neferkare .
2567,n Hr Hr jr .k,Horus will not be distant from you .
2568,n bjA .w .f jr .k,He will not be far from you .
2569,n wp .n .f jr .k,Him not separating from you .
2570,n Hr .s r .k n D .t D .t,It will never be far from you .
2571,n bjA .n Hr jr .k,Horus not being distant from you .
2572, m Hr jr .f m rn .f nj mr ,"Do not be far from him, in his name of ‘pyramid!’"
2573, jmj bjA .tj .fj jm .Tn,With there not being one among you who will be distant from him .
2574,n bjA .n Hm nTr Hr Dd .t .n .f ,With indeed no god being distant because of what he said .
2575,sxn .k sn n bjA .tj .fj jm .sn,"May you embrace them, without there being one of them who will be distant ."
2576, m sp bjA jm .sn ,Let there not remain one who is distant among them .
2577, sdm n .k jr .t Hr wDA .t r Hr .k ,Paint the whole eye of Horus in lit . at your face .
2578,sdm n .k sj jr Hr .k,Paint it into your face!
2579,dd .j Tw m jr .tj jt .j,In the eye of my father do I put you .
2580,swA kw T. m rA pSnj,Let Teti pass by you in Rapeshni .
2581,swA .kj swA .t nTr,I have passed the passing of the god .
2582,swA W. m Xnw pXr .t njt aHA .w Hr,That Unas pass within the circuit of those warlike of aspect .
2583,swA m Htp,Pass over in peace .
2584,swA .n T. Hr pr .f ,Teti has passed by his house .
2585,swA W.,That Unas pass .
2586,swA W. jm .s,That Unas pass upon it .
2587,swA .n P. pn Hr .Tn m tm,Pepi has passed by you even as Atum .
2588,jmj swA Ne.,And cause that Neferkare pass .
2589,swA .j jm .s?,That I may pass through it? .
2590,M.n pw bA swA jmjtw .Tn,"For Merenre is a Ba, one who would pass among you ."
2591, swA .n P. pn Hr wp .wtjw wsjr ,Pepi has passed by the messengers of Osiris .
2592, swA .f jm jr S .w dA .tjw ,That he may pass thereby to the netherworldly lakes .
2593,swA .f Hnsk .tjw P.t,Passing those of the side lock of the sky .
2594, Dj .Tn swA M.n Hr nTr mH m saH .w TAw .w ,"And cause that Merenre pass by the god, filled with the titles of ‘air .’"
2595,xr Hm psD .t m mw,Let the pelican fall into the water .
2596,xr Hm psD .t m Hap,And the pelican fall into the Nile .
2597,xr Hm psD .t m Hap pn,Is the pelican to fall into this Nile?
2598,xr wr xr Hm psD .t,"If the great one should fall, then the pelican would fall ."
2599,stp W. sA r ra m P.t,That Unas protect Re in the sky .
2600,stp .f sA jr ra m s .t nTr .w s n kA .w .sn,And protect Re in the place of the gods who have gone to their Kas .
2601,stp .f sA jr ra,And protect Re .
2602,stp sA .f jr .k,Let him protect you .
2603,stp .f sA jr ra Hr xntj Ax .w tpj nDm .w sT,"That he protect Re, Horus foremost of Akhs, the one atop sweetness of scent ."
2604,stp .s sA jr ra m P.t,That she protect Re in the sky .
2605,stp kA nj Nt . sA jr nTr aA,That the Ka of Neith protect the great god .
2606, stp .f sA r ra nTr n s .w n kA .w .sn ,That he may protect Re as a god for those who have gone to their Kas .
2607,d r a .f jAb .j,Place in lit . at his left hand .
2608,dy m Dr .t .f jAb .jt,Place in his left hand .
2609,dy m ,Place in his hand .
2610,tfn .t W. twA .t Sw ssx .s s .t .f m Ddw m Dd .t m Ddw .t,"The Tefenut of Unas, she whom Shu supports, makes room for him in Busiris, in Mendes, and in Djedut ."
2611,ssx s .t P. pn m xnt nTr .w,Make room for Pepi in front of the gods!
2612,ssx s .t T. Hna gbb,Room has been made for Teti and Geb .
2613,jr hb .w tA,Plow the land i .e . enter the earth!
2614,hb .k m tA,May you enter into the earth .
