,Transliteration,Translation
1074, xm.n Nt. S<Ab> {q} n(i) nb xmnw ,Neith does not know the cro<okedness> of the lord of Hermopolis.
1075, m-n=k ir.t Hr wa.t mA=k im=s ,"Take the sole eye of Horus, that you may see by it!"
1076, sTz=s sanx=s HA.t=k ,She causes to be raised up and makes your brow live.
1077, d(=i) n=k Hwn.ti Hm imit ir.ti Hr,Let me give you the two pupils which are the eyes of Horus.
1078, wnn=sn(i) n=k tp=k ,They will even be upon you for you.
1079,m-n=k ir(.t) Hr imn.t.n stS ,Take the eye of Horus which Seth hid!
1080,i.spD s(i),Make it stretched!
1081, m-n=k ir(.t) Hr Dd.t.n=k ir=s ,Take the eye of Horus concerning which you said!
1082,m-n=k ir(.t) Hr wDA.t,Take the whole eye of Horus!
1083,m-k nw ir.n(=i) n=k,See this which I did for you!
1084,pr P. pn pr ///,"If Pepi ascends, /// ascends."
1085, pri=i pr ///,If I ascend ///.
1086, /// . . . /// i.zi Xr Ne. pn ,/// . . . /// go under Neferkare.
1087, in dwAw S[ms] wi ra nb ,It is Duau who fol[lows] me every day.
1088,in dwA Sms NN pn ra Sms NN pn ,It is Duau who follows NN and Re who follows NN.
1089, wab NN Tn n kA=s n kA=s ,"NN is pure for her Ka, for her Ka."
1090,id.t nTr r iwf.w=T,With the censing of the god at your flesh.
1091,id.t nTr r iwf.w=f,With the censing of the god at his flesh.
1092, DbA.n=i Tw m ir.t-Hr imit tAi.t DbA.t.n=f it=f im=s DbA.t.n=f wsir im=s ,"I have adorned you with the eye of Horus which is Tait, with which he adorned his father, with which he adorned Osiris."
