,Transliteration,Translation
2587,swA.n P. pn Hr=Tn m tm,Pepi has passed by you even as Atum.
2588,im(i) swA Ne.,And cause that Neferkare pass.
2589,swA=i im[=s(?)],That I may pass through [ it(?)].
2590,M.n pw bA swA imitw=Tn,"For Merenre is a Ba, one who would pass among you."
2591, swA[.n] P. pn Hr wp.wt(i)w wsir ,Pepi [has] passed by the messengers of Osiris.
2592, swA=f im ir S.w dA.t( iw) ,That he may pass thereby to the netherworldly lakes.
2593,swA=f Hnzk.t(i)w p.t,Passing those of the side-lock of the sky.
2594, Di=Tn swA M.n Hr nTr mH m saH.w TAw.w ,"And cause that Merenre pass by the god, filled with the titles of ‘air.’"
2595,xr Hm-psD.t m mw,Let the pelican fall into the water.
2596,xr Hm-psD.t m Hap,And the pelican fall into the Nile.
2597,xr Hm-psD.t m Hap pn,Is the pelican to fall into this Nile?
2598,xr wr xr Hm-psD.t,"If the great one should fall, then the pelican would fall."
2599,stp W. zA r ra m p.t,That Unas protect Re in the sky.
2600,stp=f zA ir ra m s.t nTr.w z n kA.w=sn,And protect Re in the place of the gods who have gone to their Kas.
2601,stp=f zA ir ra,And protect Re.
2602,stp zA=f ir=k,Let him protect you.
2603,stp=f zA ir ra Hr xnt(i) Ax.w tp(i) [nDm.w] sT,"That he protect Re, Horus foremost of Akhs, the one atop [sweetness] of scent."
2604,stp=s zA ir ra m p.t,That she protect Re in the sky.
2605,stp kA n(i) Nt. zA ir nTr aA,That the Ka of Neith protect the great god.
2606, stp=f zA r ra nTr n z.w n kA.w[=sn] ,That he may protect Re (as) a god for those who have gone to [their] Kas.
2607,d r a=f iAb(.i),Place in (lit. at) his left hand.
2608,dy m Dr.t=f iAb.(i)t,Place in his left hand.
2609,dy [m] /// ///,Place [ in his hand].
2610,tfn.t W. twA.t Sw ssx=s s(.t)=f m Ddw m Dd.t m Ddw.t,"The Tefenut of Unas, she whom Shu supports, makes room for him in Busiris, in Mendes, and in Djedut."
2611,ssx s.t P. pn m-xnt nTr.w,Make room for Pepi in front of the gods!
2612,ssx s.t T. Hna gbb,Room has been made for Teti and Geb.
2613,ir hb.w tA,Plow the land ( i.e. enter the earth)!
2614,hb=k m tA,May you enter into the earth.
2615,nh.n M.n rnp.t Xr(i)t mwt mr nh.t stS rnp.t=f Xr(i)t mwt m hb tA,"Merenre has escaped the year which holds death just as Seth escaped his year which holds death, at the treading of the land ( i.e. at the going into the earth)."
2616,stp zA anx Hr it=Tn wsir M. Dr nw Di.t=f sDb=f xr nTr.w,"Put the protection of life around your father Osiris Merire, since the time of his causing his coming to live by the gods."
2617,i.Sm n wsir M. pw,Go to Osiris Merire!
2618,i.Sm n wsir P. pn,Go to Osiris Pepi!
2619,f A it=Tn wsir P. pn,Lift up your father Osiris Pepi!
2620,wnm=n,Let us eat.
2621,gmm.ti n DD=n n=k,What is found belongs to what we give to you.
2622,HkA.w=f tp-rd.wi=f(i),And his magic is before him.
2623,P. pw Xr(i) HkA,For Pepi is one who bears magic.
2624,HkA.w=f ir-rd.wi=f(i),And his magic before him.
2625,HkA.w=f ir-gs.wi=f(i),His magic on either side of him.
2626,HkA pn ir(i)=f imi X.t n(i)t M.,And what is in the belly of Merire is this magic which is against him.
2627,HkA.w=f tp-rd.wi=f(i),And his magic is before him.
2628,HkA n(i) Ne. n=f ,The magic of Neferkare is his.
2629,Di=T sxm=f m D.t=f ,That you cause that he have power over his body.
2630,sxm=k m D.t=k,With you having power in your body.
2631,sxm=k m D.t=k,May you have power in your body.
2632,sxm=k m-Xn=k,Your power within you.
2633,sxm nTr m D(.t)=f ,The god has power in his body.
2634,sxm nTr m D.t=f ,The god has power in his body.
2635,sxm=f m-Xn(w)=f ,His power within him.
2636,sxm=k im=sn,You having power over them.
2637,n sxm=k m nTr.w kA.w=sn isT,Precisely because you have power over the gods and their Kas.
2638, i sxm m Ax.t sxm m nTr.w ,"One who has power in the horizon comes, having power over the gods."
2639,sxm=k im=[sn],That you may have power over [them].
2640,sxm=k im=sn,You having power over them.
2641,sxm=k im=s,That you be powerful by it.
2642,sxm=k im=s xnti Ax.w,That you be powerful by it before the Akhs.
2643,sxm=k im=s,May you be powerful by it.
2644, i{q}w.n(=i) in(=i) n=k ir(.t) Hr ,"I have come, even bringing you the eye of Horus."
2645, iw.n(=i) in(=i) n=k ir.t Hr ,"I have come, even bringing you the eye of Horus."
2646,in(.n=i) n=k s(i),To you have I brought it.
2647,in(=i) n(=i) ir.ti Hr,Let me bring the two eyes of Horus.
2648,in.n(=i) n=k ir.ti Hr,To you have I brought the eyes of Horus.
2649, [ in.n(=i) pD.t ib] stS ,[For I have brought that which pleases] Seth ( i.e the eye of Horus).
2650,in.n(=i) n=k ir.t Hr iT.n=f r HA.t=k,"To you I have brought the eye of Horus, which he took away to your forehead."
2651, iw.n(=i) in(=i) n=k ir.ti Hr n(i)t(i) D.t=f ,"I have come, even bringing you Horus’s own eyes."
2652,in.n(=i) n=k ir.ti Hr pD.t ib=f ,"I have brought you the eyes of Horus, which please his heart."
2653, in.n(=i) n=t ir.t Hr ,To you have I brought the eye of Horus.
2654,in(.n=i) n=k ir(.t) Hr imit tAi.t rn(n)-w[t].(i)t [tn nr.t.n n=s nTr.w],"To you I have brought the eye of Horus which is Tait, [this] cloth [of which the gods are terrified]."
2655,Szp n=k t=k pn m-a(=i),Receive this bread of yours from me!
2656, Szp n=k t=k pn rDi.n(=i) n=k ,Receive this your bread which I gave to you!
2657,iw t=k xr(=i) ra nb,Your bread is from me every day.
2658, Hnk(=i) Tw m t=k mr Hnk sw Hr m ir.t=f ,"Let me present you with your bread, as Horus presents him with his eye."
2659, [Hnk(=i) Tw m] t=k pw mr Hnk sw Hr [{Hr(?)} <m>] ir.t=f ,"[Let me present you with] this bread of yours, just as Horus presents him with his eye."
2660,Szp n=k sw m-a(=i),Receive it from me!
2661,Szp n=k sw m-a(=i),Receive it from me!
2662, d(=i) Tw n it(=i) Ne. ,Let me give you (sc. eye-paint) to my father Neferkare.
2663,Szp n=k t=k pn m-a(=i),Receive this bread of yours from me!
2664, rDi.n(=i) n=k nTr.w nb.w (i)wa.t=sn isT Df A.w=sn isT iS.wt=sn nb(.wt) isT ,"I have given you all the gods, and their inheritance, and their provisioning, and their rites."
2665, Szp n=k t=k pn rDi.n(=i) n=k ,Receive this your bread which I gave to you!
2666,iw t=k xr(=i) ra nb,Your bread is from me every day.
2667, Hnk(=i) Tw m t=k mr Hnk sw Hr m ir.t=f ,"Let me present you with your bread, as Horus presents him with his eye."
2668, [Hnk(=i) Tw m] t=k pw mr Hnk sw Hr [{Hr(?)} <m>] ir.t=f ,"[Let me present you with] this bread of yours, just as Horus presents him with his eye."
2669,in(.n=i) n=k zA=k mrr.w=k wp rA=k,"I have brought you your son beloved of you, the opener of your mouth."
2670,Di(=i) n=f ir.ti=f(i),Let me give him his eyes.
2671,ink gbb,For I am Geb.
2672,(i)n pnd.n(=i) Tm m gbb m rn=T n(i) p.t,"Indeed I as Geb have made you fruitful, in your name of ‘sky.’"
2673,HA.n(=i) Tw Hr HA.t,I have mourned you at the tomb.
2674,ink Hr,I am Horus.
2675, iw.n(=i) m [xsf ]=k ink Hr ,"I have come in [approaching] you, for I am Horus."
2676,ink Hr,For I am Horus.
2677,ink Hr,I am Horus.
2678,ink Hr,I am Horus.
2679,iw=k A xr(=i) Hr is nD.n=f it=f wsir,"Ah, you come to me, (I being) as Horus, who saved his father Osiris."
2680,ink Hr,I am Horus.
2681,ink Hr,I am Horus.
2682,ink Hr,I am Horus.
2683,ink Hr iw.n(=i) xw(=i) Tw i/// /// Hr ir.t.n=f ir=k,I am Horus. I have come that I may protect you /// /// from what he did to you.
2684,ink Hr,For I am Horus.
2685,ink Hr,I am Horus.
2686,ink zA<=k> Hr mrr Tw,I am <your> son Horus who loves you.
2687,ink Hr,I am Horus.
2688,ink Hr,I am Horus.
2689,ink Hr,I am Horus.
2690,in(.n=i) n=k zA=k mrr.w=k wp rA=k,"I have brought you your son beloved of you, the opener of your mouth."
2691,iw.n(=i) mdw(=i) Hr-tp=k ink zA=k,"I have come in order that I may speak on your behalf, for I am your son."
2692,ink zA=k mry k(w),For I am your son who loves you.
2693,ink zA=k,I am your son.
2694,wp rA=f in zA=f Hr mry=f ,"His mouth having been opened by his son Horus, beloved of him."
2695,in zA=k mry=k snT.n=f n=k ir.ti=k(i),It is your son who is beloved of you who has repaired your eyes for you.
2696,ink zA=k iwa=k,"For I am your son, your heir."
2697,ink zA=k ms.w=k,"I am your son, your child."
2698,P. pi zA=k,Pepi is your son.
2699,ink p(w) zA=k,For I am your son.
2700,ink zA=k,For I am your son.
2701,ink zA[=k],For I am [your] son.
2702,ink zA=k,I am your son.
2703,ink zA=k mrr Tw,I am your son who loves you.
2704, d(=i) n=k tp=k smn(=i) n=k tp=k ir qs.w ,Let me1251 place your head for you; let me make firm your head for you upon ( your) vertabrae.
2705,i Xr(i),O one who bears.
2706,ink DHw.ti,I am Thoth.
2707,ink DHw.ti,I am Thoth.
2708,pr.n=k m-bAH=f ,You went forth ( i.e. were born) before him.
2709, wt.t(i) ir=f pr.n=k m-bAH=f ,Being older than him: you came forth before him.
2710,wtw.ti,O eldest son.
2711,Htm=f Tw m nTr,That it may provide you as a god.
2712,Htm Tw m nTr,Provide yourself as a god!
2713, Htm Tw im=s Htm=s Tw m nTr ,"Provide yourself with it, so that it may provide you as a god!"
2714, aHa=k P. pn nD.ti Htm.ti m nTr ,"May you arise, O Pepi, saved, provided as a god."
2715,Htm Tw m nTr,Provide yourself as a god!
2716,Htm m nTr,Provided as a god.
2717,Htm Ne. pn m nTr,Let Neferkare be provided as a god.
2718,Htm.t(i) Hr=k im=s,Provide your face with i!
2719,Htm n=k Hr=k im=s,Provide your face with it!
2720,Htm k(w) Hr=k im=s,Provide your face with it!
2721,Htm k(w) m ir(.t) Hr,Provide yourself with the eye of Horus!
2722,Htm.t(i) Hr=k im=s pDpD,Provide your face with it suffused!
2723,Htm Tw im=s,Provide yourself with it!
2724,Htm=f Hr=f im=s,That he may provide his face with it.
2725, Htm Tw im=s Htm=s Tw m nTr ,"Provide yourself with it, so that it may provide you as a god!"
2726,Htm Tw im=s,Provide yourself with it!
2727,Htm.n=f Tw,He has provided you (with his eye).
2728,Htm Tw m ir(.t) Hr dSr.t wr.t bA.w aSA.t wn.w,"Provide yourself with the red eye of Horus, great of might, manifold of being!"
2729, Htm k(w) m Hnq pr im=k ,Provide yourself with the outflow which went forth from you!
2730,Htm Tw m Hnq pr (i)m=k,Provide yourself with the outflow which went forth from you!
2731,rDi n=k anx wAs nb D.t n=k ir(i)=k in ra,"Let to you all life and dominion for ever be given, and to you what pertains to you, by Re."
2732,Xnm=T P. m anx wAs,May you endow Pepi with life and dominion.
2733,Di=k n=f anx wAs,That you give him life and dominion.
2734,Htm=sn Tw m anx wAs,Providing you with life and dominion.
2735,Htm=f Ne. pn m anx,Let him provide Neferkare with life.
2736, Szp n=k fd.t=k iptw nms.wt aAb.wt ,Receive these your four Nemset-jars and ‘Aabet-jars.
2737,wab.ti m fd.t=k nms.wt fd.t=k aAb.wt,"And be purified with your four Nemset-jars, and your four ‘Aabet-jars."
2738, wab=k m fd.t=k nms.wt iptw Spn.t aAb.t pr.t n=k m zH-nTr nTr=k ,"May you be purified with these your four Nemset-jars, a Shepenet-jar, and an ‘Aabet-jar, which went forth from the god’s booth to you, in order that you be a god."
2739,Szp n=k f[d.t=k iptw n( it) nms.t wab=k im=sn] Hr is,"And receive [these your four jars, and be purified by them] as Horus!"
2740,Szp n=k fd.wt[=k ipt]wt nms.w(t),Receive the[se your] four jars!
2741, Szp n=k wab=k pw fd.t=k iptw aAb.wt abH[.t(i)] m mr-nTr ,"Receive this purification of yours, these four jars of yours, filled from the natron pool!"
2742, wab.t(i)=k m 8.t=k nms.wt 8.t aAb.wt pr.t m aH-nTr ,That you be purified with your eight Nemset-jars and the eight ‘Aabet-jars which went forth from the temple.
2743,Szp n=k fd.t=k iptw aAb[.t abH<.ti> m mr-nTr],"Receive your four jars, [filled from the natron pool]!"
2744, s(w)ab.n sw sTi.t m fd.t=s aAb.wt m Abw ,Satis having purified him with her four jars from Elephantine.
2745,wab.i m fd.t {ti} ip[t]w nms.t,Pure through these four jars.
2746, wab.n W. pn m sx.t-iAr.w ,Unas has become pure even in the field of rushes.
2747, wab.n P. Hna ra m mr-iAr.w ,Pepi and Re have become pure even in the pool of rushes.
2748,wab T. m sx.t-iAr.w,That Teti become pure in the field of rushes.
2749,wab Ne. m sx.t-iAr.w,Neferkare is pure in the field of rushes.
2750, i.n P. wab=f P. m sx.t-iAr.w ,"Pepi has come, only that he, Pepi, become pure in the field of rushes."
2751, wab<.n>=f m sx.t-iAr.w ,<Having> become pure in the field of
2752,wab P. m sx.t-iAr.w,Pepi having been made pure in the field of rushes.
2753,wab=k m sx.t-iAr.w,That you become pure in the field of rushes.
2754,wab.n M.n m mr-iAr.w wab.n ra im=f ,Merenre has become pure even in the pool of rushes in which Re became pure.
2755, wab=f m sx.t-iAr.w ,Having been made pure in the field of rushes.
2756, wab P. pn Ds=f m mr-iAr.w ,Pepi himself is pure in the pool of rushes.
2757,wab.n P. pn m sx.t-iAr.w,Pepi has become pure even in the field of rushes.
2758, pr.w wab=k m sx.t iAr.w ,Go forth and become pure in the field of rushes!
2759,sab.w=k Hr-tp SAb.t=k m sx.t-iAr.w,And purified upon your flower in the field of rushes.
2760,n xnd=k Hr HwA.wt wsir,And you not tread upon the putrefaction of Osiris.
2761,baH=k n=k rDw pr m nTr HwAA.wt pr.t m wsir,"Your flood be yours—the efflux which went forth from the god, the putrefaction which went forth from Osiris!"
2762, rDw=k n=k pr m HwAA.t wsir ,"Your efflux be yours, that which went forth as the putrefaction of Osiris!"
2763,i.wn=k,May you quicken.
2764,wn Tw,Quicken!
2765,wn Tw,Quicken!
2766,Tz Tw Hr gs=k,Raise yourself from upon your side!
2767,i.dr Tw Hr gs=k iAb(.i),Remove yourself from upon your left side!
2768,Tz=sn(i) wsir Hr gs=f ,That they raise Osiris from upon his side.
2769,Tz Tw Hr gs=k iAb(.i),Raise yourself from upon your left side!
2770,aHa Hr gs=k iAb.i,Arise from upon your left side!
2771,Tz Tw Hr iAb=k,Raise yourself from upon your left!
2772,Tz Tw Hr gs=k iAb(.i),Raise yourself from upon your left side!
2773,i.dr Tw Hr gs=k iAb(.i),Remove yourself from upon your left side!
2774,Tz Tw Hr gs=k wnm(.i) sDsr.w Tw Hr gs=k iAb(.i),"Raise yourself upon your right side, raise yourself from upon your left side!"
2775,Tz Tw Hr gs=k iAb,Raise yourself from upon your left side!
2776,[Tz Tw Hr] gs=k pw iAb(.i),[Raise yourself from upon] this your left side!
2777, aHa i.[dr] Tw Hr gs=k pw iAb(.i) ,Arise! Remove yourself from upon your left side!
2778,Tz Tw,Raise yourself !
2779,aHa Tz Tw,Arise! Raise yourself !
2780,Tz Tw,Raise yourself !
2781,Tz Tw,Raise yourself !
2782,aHa i.dr tA=k wxA xm.w=k Tz Tw,Arise! Throw off your earth! Cast off your dust! Raise yourself !
2783,Tz Tw,Raise yourself !
2784,Tz Tw m wsir Ax is zA gbb tpi=f ,"Raise yourself as Osiris, as the Akh, the son of Geb, his first!"
2785,i.rs Tz Tw aHa,Awaken! Raise yourself ! Arise!
2786,Tz Tw,Raise yourself !
2787,aHa Tz Tw,Arise! Raise yourself !
2788,Tz Tw,Raise yourself !
2789,Tz Tw,Raise yourself !
2790,Tz Tw aHa,Raise yourself ! Arise!
2791,Tz Tw,Raise yourself !
2792,Tz Tw,Raise yourself !
2793,Tz Tw,Raise yourself.
2794,Tz Tw ir=k,Raise yourself !
2795,Tz Tw,Raise yourself !
2796,Tz Tw,Raise yourself !
2797,Tz Tw,Raise yourself !
2798,i.rs Tz Tw,Awaken! Raise yourself !
2799,Tz Tw,Raise yourself !
2800,Tz Tw,Raise yourself !
2801,Tz Tw,Raise yourself !
2802,Tz Tw,Raise yourself !
2803,aHa Tz Tw,Arise! Raise yourself !
2804,Tz Tw,Raise yourself !
2805,Tz Tw ir=k,Raise yourself !
2806,Tz <T>w,Raise yourself !
2807,Tn sDr.w,"Be lifted up, O sleeper!"
2808,Tz Tw,Raise yourself !
2809,Tz Tw,Raise yourself !
2810,Tz Tw,Raise yourself !
2811,Tz Tw r=k,Raise yourself !
2812,Tz Tw,Raise yourself !
2813,Tz Tw,Raise yourself !
2814,Tz=k Tw Hr nxt=k,And raise yourself up on your strength!
2815,Tz Tw Ax,"Raise yourself, O Akh!"
2816,Tz Tw Hr gs=k wnm(.i) sDsr.w Tw Hr gs=k iAb(.i),"Raise yourself upon your right side, raise yourself from upon your left side!"
2817,Tz [Tw],Raise [yourself ]!
2818,i.rs Tz Tw,Awaken! Raise yourself !
2819,Tz Tw r wr.w ir=k,Raise yourself to those who are greater than you!
2820,Tz Tw Hr qs.w=k biA.(i)w a.wt=k nbw.(i)t,Raise yourself upon your metal bones and your golden limbs!
2821, Tz Tw ir t=k pn i.xm xsD ,Raise yourself to this your bread which cannot grow stale!
2822,Tz Tw ir=k Hms=k Hr Sw /// ///,Raise yourself and sit upon the shade!
2823,xa ra,Let Re appear.
2824,xa ra ir=k,Re has appeared against you.
2825,xai ra,That Re appear.
2826, xa.n P. pn Hna ra m xa=f ,Pepi has appeared even with Re at his appearance.
2827,sk Tw xa.ti m iAb.t(i) p.t,While you are appeared in the
2828, mr ir.t nTr.w iA m xsf.w xa ra ,Just as the gods make greeting in meeting the appearance of Re.
2829,wD W. r=k wD sw wD sw Dd-mdw zp 4 n 4 ipw khA.w,"Commend Unas, commend him, commend him—recite four times—to these four who roar!"
2830,i.wD T. n mA-HA=f mXn.ti n(i) mr-nxA(i),"Commend Teti to Mahaf, ferryman of the shifting waterway!"
2831,i.wD=f M. n it=f iaH,Let him commend Merire to his father the moon.
2832,wD=f M.n n kA.w,"Let him (sc. great god, i.e. Re) commend Merenre to the Kas."
2833, i.wD <wi> n anx zA spd.t ,"Commend <me> to the living one, the son of Sothis!"
2834,i.wD [n=k] P. pn,Commend Pepi [to yourself ]!
2835,DA=f im ir Ax.t,That he cross thereby to the horizon.
2836, DA=f im ir Ax.t xr Hr Ax.t(i) ,"That he cross thereby to the horizon, to Harakhti."
2837, DAi ra [i ]m=sn ir Ax.t xr Hr Ax.ti ,"That Re cross by them to the horizon, to Harakhti."
2838, i.nD-Hr=k ra nm p.t DA nw.t ,"Hail to you, O Re, who traverses the sky, who crosses Nut."
2839, DA ra Hr=sn(i) xr Hr Ax.ti r Ax.t ,"That Re cross upon them to Harakhti, to the horizon."
2840,DA=f im xr Hr nTr.w ir Ax.t,"That he cross thereby to Horus of the gods, to the horizon."
2841,DA=f im xr Hr Ax.ti,That he cross thereby to Harakhti.
2842,DA=f im ir Ax.t ir bw ms.w nTr.w im,"That he cross thereby to the horizon, even to the place where the gods are born."
2843,/// . . . /// [xbz.t ngA] wa.ti xnz p.t /// . . . ///,"/// . . . /// [tail], O sole [long-horned bull] who traverses the sky /// . . . ///."
2844, DA ra r [Ax.t /// . . . /// ,In order that Re cross to [the horizon] /// . . . ///.
2845, rH.wi ipw(i) DAy p.t ,O Dual Companions (sc. Re and Thoth) who cross the
2846,im(i) a.wi=k(i) n T.,Give your hand to Teti!
2847,DDi=k a=k ir imn(.t) DDi=k a=k ir T.,"Even as you put your hand to the west, so do you give your hand to Teti."
2848,in ra Di=f a=f n Ne.,It is Re who will give his hand to Neferkare.
2849,Di ra a=f ir Ne. ir bw nb nty nTr im,With Re giving his hand to Neferkare at any place where the god is.
2850,rDi=f a=f ir=k m izkn n(i) p.t,And he will put his hand upon you in the Yezken of the sky.
2851,im(i) a=k n P. pn,Give your hand to Pepi!
2852,im(i) a=k ir P.,Put your hand on Pepi!
2853,nDr.w=f n=k a=k,He will take your hand for you.
2854,nDr a=k in ra,Your hand be grasped by Re.
2855,Szpp a=f in ra,His hand will be received by Re.
2856,nDr=f n=f a=k,Let him take your hand.
2857,Szp n=k T.,Accept (the hand of ) Teti!
2858,wab.n ra m sx.t-iAr.w,Re has become pure even in the field of rushes.
2859, wab.n P. Hna ra m mr-iAr.w ,Pepi and Re have become pure even in the pool of rushes.
2860, wab.n T. Hr xa pw n(i) tA wab.n ra Hr=f ,Teti has become pure even upon this risen land upon which Re became pure.
2861,wab n=k ra,"Be pure, O Re!"
2862,wab.n M.n m mr-iAr.w wab.n ra im=f ,Merenre has become pure even in the pool of rushes in which Re became pure.
2863,wab ra m mr-iAr.w,Re has become pure in the pool of rushes.
2864,wab.n ra m sx.t-iAr.w,Re has become pure even in the field of rushes.
2865,iT=k n=k W. Hna=k Hna=k,"May you take Unas with you, with you."
2866,Sd.n n=f ra M. pn r p.t,For himself has Re taken Merire out to the sky.
2867,Sd n=k P. pn Hna=k n anx xr mw.t=k nw.t,"Take Pepi out with you to the living one, to your mother Nut!"
2868,Sd n=k sw Hna=k ir gs iAb(.ti) n(i) p.t,Take him out with you to the eastern side of the sky!
2869,Sd n=Tn(i) W. Hna=Tn(i),Take Unas out with you!
2870,pH.n=f qAw p.t,He has reached the height of the sky.
2871,pH=f p.t m bik.w nTr.w [r] sx.t-iAr[.w] sbA DA wAD-wr,"With him reaching the sky as do divine falcons, [at] the field of rushes, (as) a star which crosses the great green."
2872, Szp n=k t=k pn im(i) ir.t Hr ,"Receive this your bread, which is the eye of Horus!"
2873,Szp n=k tpi=k,Receive that which is upon you ( i.e. bread)!
2874,Szp n=k sw m-a(=i),Receive it from me!
2875,Szp n=k t=k pn m-a(=i),Receive this bread of yours from me!
2876,Szp n=k t=k i.xm xsD Hnq.t=k i.xm.t amA,Receive your bread which cannot go moldy and your beer which cannot go stale!
2877,Szp n=k t=k pn srf Hnq.t=k iptn srf.t pr.t m pr=k DD.w n=k,"Receive this your warm bread, and this your warm beer which went forth from your house, and this which is given to you!"
2878, Szp n=k t=k pn rDi.n(=i) n=k ,Receive this your bread which I gave to you!
2879,pr Szp n=k t=k pn m-a=i,Go forth and receive this your bread from me!
2880,Di=k aw.t m a W. pn,May you put the crook into the hand of Unas.
2881,Szp sxm=k m iwnw,Receive your staff in Heliopolis!
2882,Szp n=k HD=k Ams=k,Receive your mace and your flail!
2883,<Szp n=k> nHb.t=k tw rDi.t.n n=k mw.t=k (aH)-HD-b.t[(i)t],"<Receive> this your lotus-staff, which your mother Wedjebetit gave you!"
2884,[ iT.n=k sxm=f ],[You having taken his staff ].
2885,abA=k wAh.i m Dr.t=k,Your staff is placed in your hand.
2886, Szp n=k abA=k pw mnH Hr(i) wr.w,Receive this papyrus staff of yours which is over the great ones!
2887,Szp=k sxm[=k] m iwnw,And receive [your/his?] staff in Heliopolis!
2888, d n=k sw m-a=k ndsds.w=sn n{n}<=k> ,"Put it in your hand, that which they sacrificed for <you> (sc. staff )!"
2889, mH n=k a=k m Hrs Htm Tw m Hrs ,Fill your hand with the flail; provide yourself with the flail!
2890,pzH naw in na.t pzH na.t in naw,The serpent is bitten by the female serpent: the female serpent is bitten by the serpent.
2891,Hw zpA in Hw.ti Hw Hw.ti in zpA,"The centipede was smitten by he of the house, just as he of the house was smitten by the centipede."
2892,xr kA n sDH xr sDH n kA,The bull-serpent is fallen because of the Sedjeh-serpent; the Sedjeh-serpent is fallen because of the bull-serpent.
2893, xr kA n sDH xr sDH n kA ,The bull-serpent is fallen because of the Sedjeh- serpent; the Sedjeh-serpent is fallen because of the bull-serpent.
2894,zp 4,Four times.
2895,Dd-mdw zp 4,Recite four times.
2896,Dd-mdw zp 4 n NN,Recite four times to NN.
2897,Dd-mdw zp 4,Recite four times.
2898,Dd-mdw zp 4,Recite four times.
2899,Dd-mdw zp 4,Recitation four times.
2900,wD W. r=k wD sw wD sw Dd-mdw zp 4 n 4 ipw khA.w,"Commend Unas, commend him, commend him—recite four times—to these four who roar!"
2901,Dd-mdw-Dd zp 4,Recitation continued—four times.
2902,Dd-mdw zp 4,Recite four times.
2903,zp 4 Dd,Four times continuously.
2904, d zxn.wi p.t n W. ,The two reed-boats of the sky are given to Unas.
2905,wAH zxn.wi p.t n T.,The two reed-boats of the sky are set down for Teti.
2906, d zxn.wi p.t n P. pn Ds=f ,The two reed-boats of the sky are given to Pepi also.
2907, d zxn.wi p.t n P. pn ,The two reed-boats of the sky are given to Pepi.
2908,dw sn n W.,Set them down for Unas!
2909, shA n M.n zxn.wi p.t in manD.t ,Let the two reed-boats of the sky be brought down to Merenre by the day-bark.
2910,dy zxn.wi p.t,The two reed-boats of the sky are given.
2911,d n=i zxn.wi p.t,The two reed-boats of the sky are given to me.
2912, d zxn.wi p.t n M.n pn ,The two reed-boats of the sky are given to Merenre.
2913,dy zxn.wi p.t n Nt. pn,The two reed-boats of the sky are given to Neith.
2914,dy zxn.wi p.t ir p.t,The two reed-boats of the sky are set down at the sky.
2915,d zxn.wi p.t n ra,The two reed-boats of the sky are given to Re.
2916, wAH zxn.wi p.t n Hr ,The two reed-boats of the sky are set down for Horus.
2917,d zxn.wi p.t n ra,The two reed-boats of the sky are given to Re.
2918,d zxn.wi p.t n ra,The two reed-boats of the sky are given to Re.
2919,fdw ipw zxn wab dw.n=Tn n wsir m pr.t=f ir p.t,"As for these four pure reed- boats, which you gave to Osiris in his ascent to the sky."
2920,dy zxn.wi p.t in manD.t n ra,The two reed-boats of the sky are given by the day-bark to Re.
2921,dy zxn.wi p.t n ra,The two reed-boats of the sky are given to Re.
2922,d zxn.wi p.t n Hr,And the two reed-boats of the sky are given to Horus.
2923, d zxn.wi p.t n Hr ,And the two reed-boats of the sky are given to Horus.
2924,d zxn.wi p.t n ra,The two reed-boats of the sky are given to Re.
2925, dy zxn.wi p.t n ra ,The two reed-boats of the sky are given to Re.
2926,iwn.t,A bow.
2927,xr{t}S<.t>,A bundle (of arrows).
2928,rD,A bowstring.
2929,nw-rD,A bowstring.
2930,iwn.t,A bow.
2931,pD.t,A bow.
2932,DbA,A cloth.
2933,s(i)A.t,A cloak.
2934,nTr 6,Six-netjer-fabric.
2935,nTr 4,Four-netjer-fabric.
2936,mXn izr Hrs,"A Mechen-mace, Izer-mace, and flail."
2937,Dsr,A mace.
2938,Hrs,A flail.
2939,xt-sxt,A staff.
2940,iwnw-Hrs,A staff.
2941,Hrs,A flail.
2942,smA,A staff.
2943,Dam 2,Two staves(?).
2944,Dam,A staff.
2945,wAs,A staff.
2946,ab.t,A forked staff.
2947,manx.t,A pendant.
2948,nxA,A flail.
2949,aw.t,A crook.
2950,pD-aHa,A Pedj-aha item.
2951,DbA-nTr,A mantlet.
2952,iri-nTr,A ‘what pertains to the god’ mantlet.
2953,pD-aHa,A mantlet.
2954,iwn.t,A bow.
2955,iar.t,A uraeus.
2956,D.t,A cobra.
2957,iar.t,A uraeus.
2958,wr.t-HkA.w,The great of magic.
2959,imn.t,A vulture.
2960,dmD.t,A vulture.
2961,nr.t,A vulture.
2962,wr.t-HkA.w,The great of magic.
2963,mqr.t,A situla.
2964,bik.wi wAD.iw,Two green falcons.
2965,in n=f ia.t n Hr(i)t,A rising up to the sky having been brought to him.
2966,dr.n W. mdw=f sk.n W. ir ia n p.t,"For Unas drove out the words against him, that which Unas destroyed in order to rise up to the sky."
2967, ia.w sw /// /// wp.wti n(i) i.tm ,He is risen /// /// the messenger of Atum.
2968,iar P.,As Pepi rises.
2969, xa P. pn m iar ///D imi /// ,"Let Pepi appear as one who rises up, ///"
2970,hA Nt. pw ia.w qdd Hr.w bAn,"O Neith, one who would rise up, who sleeps, who would be distant, who passes the night."
2971, i Swi.w i Swi.w ,The one who would rise comes: the one who would rise comes.
2972,i Swi.w [i ] Swi.w,The riser comes: the riser comes.
2973, i.Swy r=f P. pn ir p.t ir(.t) ra is ,And Pepi thus rises to the sky as the eye of Re.
